MatchNumber,Date,HomeTeam,AwayTeam,HomeLineup,AwayLineup
1,2024-08-15,Athletic,Getafe,"alex padilla, yuri berchiche, aitor paredes, yeray alvarez, andoni gorosabel, mikel vesga, beñat prados, alex berenguer, oihan sancet, iñaki williams, gorka guruzeta","david soria, juan iglesias, djene, omar alderete, diego rico, nabil aberdin, carles perez, luis milla, mauro arambarri, alex sola, christantus uche"
2,2024-08-15,Real Betis,Girona,"rui silva, romain perraud, diego llorente, marc bartra, yossouf sabaly, marc roca, william carvalho, juanmi, nabil fekir, pablo fornals, aitor ruibal","paulo gazzaniga, arnau martinez, david lopez, daley blind, miguel gutierrez, yangel herrera, oriol romeu, ivan martin, bryan gil, abel ruiz, portu"
3,2024-08-16,Celta,Alavés,"ivan villar, carlos dominguez, carl starfelt, javier manquillo, oscar mingueza, fran beltran, damian rodriguez, hugo alvarez, jonathan bamba, iago aspas, anastasios douvikas","antonio sivera, carlos vicente, abdel abqar, nahuel tenaglia, moussa diarra, ander guevara, antonio blanco, luka romero, jon guridi, tomas conechny, kike garcia"
4,2024-08-16,Las Palmas,Sevilla,"jasper cillessen, alex muñoz, mika marmol, alex suarez, marvin park, kirian rodriguez, enzo loiodice, alberto moleiro, javi muñoz, jaime mata, oliver mcburnie","orjan nyland, jose angel carmona, tanguy nianzou, nemanja gudelj, adria pedrosa, lucien agoume, djibril sow, lucas ocampos, juanlu sanchez, dodi lukebakio, isaac romero"
5,2024-08-17,Osasuna,Leganés,"sergio herrera, abel bretones, jorge herrando, alejandro catena, jesus areso, moi gomez, lucas torro, iker muñoz, aimar oroz, ante budimir, ruben garcia","juan soriano, valentin rosier, aritz arambarri, sergio gonzalez, javier hernandez, darko brasanac, yvan neyou, juan cruz, seydouba cisse, enric franquesa, miguel de la fuente"
6,2024-08-17,Valencia,Barcelona,"giorgi mamardashvili, jesus vazquez, yarek gasiorowski, cristhian mosquera, thierry correia, diego lopez, javi guerra, pepelu, rafa mir, hugo duro, andre almeida","marc-andre ter stegen, jules kounde, iñigo martinez, alejandro balde, marc bernal, marc casado, lamine yamal, raphinha, ferran torres, robert lewandowski"
7,2024-08-18,R. Sociedad,Rayo Vallecano,"alex remiro, javi lopez, jon pacheco, aritz elustondo, hamari traore, beñat turrientes, urko gonzalez, brais mendez, sheraldo becker, mikel oyarzabal, takefusa kubo","dani cardenas, andrei ratiu, florian lejeune, abdul mumin, alfonso espino, jorge de frutos, unai lopez, oscar valentin, adrian embarba, randy nteka, isi palazon"
8,2024-08-18,Mallorca,Real Madrid,"dominik greif, johan mojica, antonio raillo, martin valjent, pablo maffeo, samu costa, omar mascarell, sergi darder, dani rodriguez, vedat muriqi, takuma asano","thibaut courtois, daniel carvajal, eder militao, antonio rudiger, ferland mendy, federico valverde, aurelien tchouameni, jude bellingham, rodrygo, kylian mbappe, vinicius junior"
9,2024-08-19,Real Valladolid,Espanyol,"karl hein, lucas rosa, enzo boyomo, javi sanchez, luis perez, raul moro, selim amallah, eray comert, kike perez, amath ndiaye, mamadou sylla","joan garcia, alvaro tejero, omar el hilali, sergi gomez, leandro cabrera, carlos romero, pere milla, jose gragera, pol lozano, alejo veliz, javi puado"
10,2024-08-19,Villarreal,Atlético,"diego conde, sergi cardona, eric bailly, raul albiol, kiko femenia, alex baena, santi comesaña, dani parejo, yeremy pino, arnaut danjuma, gerard moreno","jan oblak, cesaz azpilicueta, axel witsel, robin le normand, marcos llorente, pablo barrios, koke, reinildo mandava, antoine griezmann, samuel lino, alexander sorloth"
11,2024-08-23,Celta,Valencia,"ivan villar, carlos dominguez, jailson, javi rodriguez, oscar mingueza, fran beltran, damian rodriguez, hugo alvarez, williot swedberg, anastasios douvikas, iago aspas","giorgi mamardashvili, thierry correia, cristhian mosquera, yarek gasiorowski, jesus vazquez, rafa mir, pepelu, javi guerra, diego lopez, andre almeida, hugo duro"
12,2024-08-23,Sevilla,Villarreal,"orjan nyland, adria pedrosa, kike salas, loic bade, jose angel carmona, saul ñiguez, lucien agoume, juanlu sanchez, lucas ocampos, isaac romero, dodi lukebakio","diego conde, kiko femenia, willy kambwala, eric bailly, sergi cardona, ilias akhomach, santi comesaña, pape gueye, alex baena, nicolas pepe, arnaut danjuma"
13,2024-08-24,Osasuna,Mallorca,"sergio herrera, abel bretones, jorge herrando, alejandro catena, jesus areso, lucas torro, bryan zaragoza, aimar oroz, jon moncayola, ruben garcia, ante budimir","dominik greif, pablo maffeo, martin valjent, antonio raillo, johan mojica, samu costa, omar mascarell, sergi darder, takuma asano, vedat muriqi, dani rodriguez"
14,2024-08-24,Barcelona,Athletic,"marc-andre ter stegen, alejandro balde, iñigo martinez, pau cubarsi, jules kounde, pedri, marc bernal, ferran torres, raphinha, lamine yamal, robert lewandowski","alex padilla, iñigo lekue, dani vivian, yeray alvarez, yuri berchiche, beñat prados, mikel vesga, alex berenguer, oihan sancet, nico williams, iñaki williams"
15,2024-08-24,Espanyol,R. Sociedad,"joan garcia, carlos romero, leandro cabrera, marash kumbulla, omar el hilali, irvin cardona, jose gragera, alex kral, jofre carreras, javi puado, alejo veliz","alex remiro, hamari traore, aritz elustondo, jon pacheco, javi lopez, martin zubimendi, sergio gomez, brais mendez, beñat turrientes, sheraldo becker, mikel oyarzabal"
